SITENAME,BCF-Sector,Solution Type,Site Type,Blended Congestion,Lat,Lon,Town,Province,ACL,Azimuth,Beam Width,Length
WMSUCAMPUS2ZAMBOAZDS,WMSUCAMPUS2ZAMBOAZDS-1,SMALLCELL-EASYMACRO,MACRO,GREEN,6.91237,122.06,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,38,10,40,200
TCEDCBACUSAPNGANTBUK,TCEDCBACUSAPNGANTBUK-1,MACRO,MACRO,GREEN,7.884298,124.712067,BUKIDNON,PANGANTUCAN,42,320,40,200
TCFGALIMBONULINGMGDN_D,TCFGALIMBONULINGMGDN_D-4,EXTENDED SECTOR,MACRO,GREEN,7.19688,124.245,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,38,10,40,200
ABREZ2,ABREZ2-2,IBS,MACRO,GREEN,7.091667,125.611944,DAVAO DEL SUR,DAVAO CITY,3,360,40,200
COMCCDO,COMCCDO-1,IBS,MACRO,GREEN,8.48575,124.6469,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (CAPITAL),3,360,40,200
DAVDOCDAVAODDSID,DAVDOCDAVAODDSID-1,IBS,MACRO,GREEN,7.070355,125.604688,DAVAO DEL SUR,DAVAO CITY,3,360,40,200
DLPCSP14BDAVAODDSEM,DLPCSP14BDAVAODDSEM-3,SMALLCELL-EASYMACRO,MACRO,GREEN,7.078235,125.615,DAVAO DEL SUR,DAVAO CITY,9,150,40,200
GAISANCDOMORLS,GAISANCDOMORLS-3,SMALLCELL-LAMPSITE,MACRO,GREEN,8.485891,124.651526,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (CAPITAL),3,360,40,200
LIMKETHTLID,LIMKETHTLID-1,IBS,MACRO,GREEN,8.483755,124.656657,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (CAPITAL),3,360,40,200
LIMKETMALLOW,LIMKETMALLOW-2,IBS,MACRO,GREEN,8.48158,124.6563,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (CAPITAL),3,360,40,200
MENSENGDAVAODDSID,MENSENGDAVAODDSID-1,IBS,MACRO,GREEN,7.064301,125.6064,DAVAO DEL SUR,DAVAO CITY,3,360,40,200
NCCCB27DAVAODDSID,NCCCB27DAVAODDSID-1,IBS,MACRO,GREEN,7.074972,125.6215,DAVAO DEL SUR,DAVAO CITY,3,360,40,200
NCCCMTINADAVAODDSID,NCCCMTINADAVAODDSID-1,IBS,MACRO,GREEN,7.058921,125.5694,DAVAO DEL SUR,DAVAO CITY,3,360,40,200
SM2CDOID,SM2CDOID-2,IBS,MACRO,GREEN,8.456679,124.6235,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (CAPITAL),3,360,40,200
VICTOMALLDAVAODDSID,VICTOMALLDAVAODDSID-1,IBS,MACRO,GREEN,7.086582,125.611084,DAVAO DEL SUR,DAVAO CITY,3,360,40,200
VICTOMALLDAVAODDSID,VICTOMALLDAVAODDSID-2,IBS,MACRO,GREEN,7.086582,125.611084,DAVAO DEL SUR,DAVAO CITY,3,360,40,200
AIRPTLAGUINMORLS,AIRPTLAGUINMORLS-2,SMALLCELL-LAMPSITE,MACRO,GREEN,8.608382,124.458324,MISAMIS ORIENTAL,LAGUINDINGAN,3,360,40,200
DVOAIRDAVAODDSLS,DVOAIRDAVAODDSLS-3,SMALLCELL-LAMPSITE,MACRO,GREEN,7.129753,125.644724,DAVAO DEL SUR,DAVAO CITY,3,360,40,200
GUSACDOMOREM,GUSACDOMOREM-5,SMALLCELL-EASYMACRO,MACRO,GREEN,8.479339,124.672853,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (CAPITAL),6,20,40,200
KM8CABANTIDAVAODDS,KM8CABANTIDAVAODDS-3,MACRO,MACRO,GREEN,7.119291,125.6281,DAVAO DEL SUR,DAVAO CITY,18,200,40,200
LIMKETMALHIG,LIMKETMALHIG-1,IBS,MACRO,GREEN,8.48158,124.6563,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (CAPITAL),3,360,40,200
LIMKETMALHIG,LIMKETMALHIG-2,IBS,MACRO,GREEN,8.48158,124.6563,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (CAPITAL),3,360,40,200
SMCDOMORLS,SMCDOMORLS-1,SMALLCELL-LAMPSITE,MACRO,GREEN,8.455849,124.621212,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (CAPITAL),3,360,40,200
SMLANANGDAVAODDS2LS,SMLANANGDAVAODDS2LS-1,SMALLCELL-LAMPSITE,MACRO,GREEN,7.098256,125.631451,DAVAO DEL SUR,DAVAO CITY,3,360,40,200
SMLANANGDAVAODDS3LS,SMLANANGDAVAODDS3LS-3,SMALLCELL-LAMPSITE,MACRO,GREEN,7.098256,125.631451,DAVAO DEL SUR,DAVAO CITY,3,360,40,200
SMLANANGDAVAODDS3LS,SMLANANGDAVAODDS3LS-4,SMALLCELL-LAMPSITE,MACRO,GREEN,7.098256,125.631451,DAVAO DEL SUR,DAVAO CITY,3,360,40,200
TCEDCUPPERCANITOCDOMOR,TCEDCUPPERCANITOCDOMOR-1,MACRO,MACRO,GREEN,8.444771,124.620685,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (CAPITAL),24,45,40,200
TCISMAGSAY30CDAVAODDS,TCISMAGSAY30CDAVAODDS-3,MACRO,MACRO,GREEN,7.074054,125.61697,DAVAO DEL SUR,DAVAO CITY,20,270,40,200
CALINA,CALINA-1,MACRO,MACRO,GREEN,7.184309,125.420987,DAVAO DEL SUR,DAVAO CITY,41,315,40,200
QUEZON,QUEZON-3,MACRO,MACRO,GREEN,7.733985,125.102034,BUKIDNON,QUEZON,47,200,40,200
BAGUA2COTABMGDN,BAGUA2COTABMGDN-1,MACRO,MACRO,GREEN,7.219746,124.233861,MAGUINDANAO DEL NORTE,COTABATO CITY,14,10,40,200
CARPENTERKNADALSCOT,CARPENTERKNADALSCOT-1,MACRO,MACRO,GREEN,6.453028,124.877704,SOUTH COTABATO,KORONADAL CITY (CAPITAL),39,10,40,200
CARPENTERKNADALSCOT,CARPENTERKNADALSCOT-2,MACRO,MACRO,GREEN,6.453028,124.877704,SOUTH COTABATO,KORONADAL CITY (CAPITAL),39,160,40,200
CAWAGSAMALDDN,CAWAGSAMALDDN-2,MACRO,MACRO,GREEN,7.060193,125.720186,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,40,80,40,200
CTYHTS2GENSANSCOTAS,CTYHTS2GENSANSCOTAS-2,SMALLCELL-AIRSCALE,MACRO,GREEN,6.118979,125.170175,SOUTH COTABATO,GENERAL SANTOS CITY,7,180,40,200
DARUL,DARUL-1,MACRO,MACRO,GREEN,5.265972,120.078667,TAWI-TAWI,LANGUYAN,35,40,40,200
DDIASTH31GENSANSCOTAS,DDIASTH31GENSANSCOTAS-1,SMALLCELL-AIRSCALE,MACRO,GREEN,6.107394,125.1742,SOUTH COTABATO,GENERAL SANTOS CITY,7,0,40,200
DDIAWEST2GENSANSCOTAS,DDIAWEST2GENSANSCOTAS-2,SMALLCELL-AIRSCALE,MACRO,GREEN,6.107093,125.1718,SOUTH COTABATO,GENERAL SANTOS CITY,7,260,40,200
GICMAL,GICMAL-2,IBS,MACRO,GREEN,8.230556,124.2415,LANAO DEL NORTE,ILIGAN CITY,3,360,40,200
GICMAL,GICMAL-3,IBS,MACRO,GREEN,8.230556,124.2415,LANAO DEL NORTE,ILIGAN CITY,3,360,40,200
KCCMARBEL,KCCMARBEL-3,IBS,MACRO,GREEN,6.498904,124.84603,SOUTH COTABATO,KORONADAL CITY (CAPITAL),3,360,40,200
LBANGAL3GENSANSCOTAS,LBANGAL3GENSANSCOTAS-3,SMALLCELL-AIRSCALE,MACRO,GREEN,6.118523,125.145542,SOUTH COTABATO,GENERAL SANTOS CITY,7,160,40,200
MALAK3,MALAK3-2,MACRO,MACRO,GREEN,6.132434,125.205432,SOUTH COTABATO,GENERAL SANTOS CITY,34,120,40,200
MARSUBDAHIMATIDVOR,MARSUBDAHIMATIDVOR-4,MACRO,MACRO,GREEN,6.937052,126.2514,DAVAO ORIENTAL,MATI CITY (CAPITAL),39,40,40,200
MMCOZAMIS,MMCOZAMIS-3,MACRO,MACRO,GREEN,8.146096,123.84909,MISAMIS OCCIDENTAL,OZAMIZ CITY,27,200,40,200
NCCCMAGUGTAGUMDDNID,NCCCMAGUGTAGUMDDNID-3,IBS,MACRO,GREEN,7.451724,125.813911,DAVAO DEL NORTE,TAGUM CITY (CAPITAL),3,360,40,200
ROBNSNBUTUANAGNID,ROBNSNBUTUANAGNID-4,IBS,MACRO,GREEN,8.94222,125.5198,AGUSAN DEL NORTE,BUTUAN CITY (CAPITAL),3,360,40,200
ROBNSNBUTUANAGNID,ROBNSNBUTUANAGNID-5,IBS,MACRO,GREEN,8.94222,125.5198,AGUSAN DEL NORTE,BUTUAN CITY (CAPITAL),3,360,40,200
ROCASAINZMATIDAVOR,ROCASAINZMATIDAVOR-3,MACRO,MACRO,GREEN,6.959692,126.2218,DAVAO ORIENTAL,MATI CITY (CAPITAL),39,150,40,200
SANISIDTLAKAGBUK,SANISIDTLAKAGBUK-3,MACRO,MACRO,GREEN,8.262957,124.593089,BUKIDNON,TALAKAG,39,240,40,200
SINUBONGZAMBOAZDS,SINUBONGZAMBOAZDS-4,MACRO,MACRO,GREEN,7.02834,121.923012,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,50,220,40,200
SMCBUTUAN1ID,SMCBUTUAN1ID-1,IBS,MACRO,GREEN,8.945804,125.533046,AGUSAN DEL NORTE,BUTUAN CITY (CAPITAL),3,360,40,200
SMCBUTUAN2ID,SMCBUTUAN2ID-2,IBS,MACRO,GREEN,8.945804,125.533046,AGUSAN DEL NORTE,BUTUAN CITY (CAPITAL),3,360,40,200
